Year,Team,Playoff,Finalist,Winner,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2011,Mens Sana 1871 Siena,1,1,1,44,40.3,83.3,29.7,59.8,497,7.1,18.5,385,16.8,21.0,798,7.8,22.8,30.6,15.0,7.7,2.1,13.0,19.7
2011,Banco di Sardegna Sassari,1,0,0,38,40.1,79.5,29.3,64.6,454,9.5,25.7,370,11.1,15.2,731,9.4,21.9,31.3,15.0,8.2,2.4,13.8,17.7
2011,AX Armani Exchange Milan,1,1,0,44,40.0,79.3,28.3,58.1,487,7.8,21.9,354,14.8,19.9,743,8.9,24.6,33.5,15.4,6.6,2.7,16.2,21.3
2011,Virtus Roma,0,0,0,32,40.8,78.7,28.8,60.0,480,7.6,20.8,364,13.5,17.9,753,8.3,23.2,31.4,12.7,7.1,2.9,15.5,19.8
2011,Sutor Montegranaro,0,0,0,32,40.2,77.6,27.6,62.6,440,6.6,20.3,326,15.8,20.8,762,11.2,21.0,32.2,13.8,10.7,1.7,15.5,19.5
2011,Sidigas Avellino,0,0,0,32,40.4,77.5,27.2,62.2,438,8.8,24.1,364,14.2,18.4,769,8.9,24.8,33.6,14.1,10.6,2.2,17.5,19.0
2011,Pasta Reggia JuveCaserta,0,0,0,32,40.2,77.5,27.5,61.6,447,7.3,22.1,329,15.1,19.1,788,9.8,22.4,32.2,11.3,9.1,1.3,14.5,18.8
2011,Umana Venezia,1,0,0,35,40.2,77.2,27.7,60.3,459,7.3,20.9,352,14.6,19.4,754,9.0,21.0,30.1,13.0,7.9,2.2,15.2,21.8
2011,Edilnol Pallacanestro Biella,0,0,0,32,40.6,76.7,28.2,58.9,478,6.7,20.6,323,13.7,19.6,700,8.5,21.3,29.8,11.3,10.3,1.2,17.9,20.8
2011,Virtus Bologna,1,0,0,35,40.4,75.5,27.2,59.4,457,6.1,19.9,309,15.2,21.3,714,10.1,25.2,35.3,10.9,6.6,2.7,15.4,18.0
2011,OpenJobMetis Varese,1,0,0,36,40.4,75.2,26.4,59.5,444,9.6,27.3,352,12.5,16.3,768,9.7,21.8,31.4,13.9,10.5,1.1,16.6,22.6
2011,Carpegna Prosciutto Basket Pesaro,1,0,0,41,40.2,75.1,26.3,54.9,479,6.5,19.7,328,16.3,22.5,727,6.5,23.6,30.1,12.1,10.1,2.2,16.8,20.0
2011,Universo De'Longhi Treviso,0,0,0,32,40.3,75.1,27.0,59.9,450,7.6,22.3,341,13.7,17.9,763,8.5,22.5,31.0,12.8,6.7,2.3,14.8,22.3
2011,Acqua San Bernardo Cantu,1,0,0,37,40.1,74.3,26.7,56.7,471,8.2,21.8,378,12.8,16.6,770,7.8,23.1,30.9,13.9,7.0,2.1,14.4,19.4
2011,Banca Tercas Teramo,0,0,0,32,40.2,74.2,27.2,62.2,437,7.9,25.0,318,11.4,16.0,713,9.1,22.8,31.8,13.6,8.1,1.7,14.8,18.2
2011,Novipiu Casale Monferrato,0,0,0,32,40.8,73.5,26.7,63.9,418,8.2,24.2,337,11.9,16.0,748,10.2,22.0,32.1,11.5,8.4,2.0,12.6,20.4
2011,Vanoli Cremona,0,0,0,32,40.1,73.4,26.5,59.4,445,6.5,20.0,326,13.3,17.8,749,9.1,23.2,32.3,9.5,8.9,0.8,15.0,18.6
