#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2019) 
S.Bernardo-Cinelandia Cantù",20,4050,1580,5.3,5.2
2,"(2019) 
Openjobmetis Varese",19,3825,1522,5.8,5.8
3,"(2019) 
Vanoli Cremona",20,4000,1617,5.8,5.8
4,"(2019) 
Happy Casa Brindisi",21,4250,1696,5.8,5.7
5,"(2019) 
Dolomiti Energia Trentino",21,4225,1665,5.9,5.8
6,"(2019) 
Germani Basket Brescia",21,4200,1554,6.2,6.2
7,"(2019) 
A|X Armani Exchange Milano",21,4200,1555,6.3,6.3
8,"(2019) 
Carpegna Prosciutto Basket Pesaro",20,4025,1849,6.7,6.7
9,"(2019) 
Grissin Bon Reggio Emilia",21,4200,1763,6.4,6.4
10,"(2019) 
Oriora Pistoia",22,4400,1832,6.3,6.3
11,"(2019) 
Umana Reyer Venezia",21,4225,1582,6.7,6.7
12,"(2019) 
Segafredo Virtus Bologna",20,4025,1500,7.1,7
13,"(2019) 
De'Longhi Treviso",21,4200,1664,6.8,6.8
14,"(2018) 
Openjobmetis Varese",30,6000,2284,4.8,4.8
15,"(2019) 
Pompea Fortitudo Bologna",21,4225,1670,6.9,6.8
16,"(2019) 
Allianz Pallacanestro Trieste",22,4425,1770,7,6.9
17,"(2022) 
Happy Casa Brindisi",30,6025,2446,5.2,5.2
18,"(2013) 
Montepaschi Siena",30,6025,2114,5.2,5.2
19,"(2020) 
Happy Casa Brindisi",28,5600,2212,5.6,5.6
20,"(2019) 
Virtus Roma",22,4425,1880,7.2,7.1
21,"(2023) 
Germani Brescia",30,6025,2353,5.4,5.3
22,"(2021) 
Fortitudo Kigili Bologna",30,6025,2511,5.4,5.3
23,"(2018) 
Dolomiti Energia Trentino",30,6100,2410,5.4,5.3
24,"(2013) 
Cimberio Varese",30,6025,2458,5.4,5.4
25,"(2022) 
GeVi Napoli Basket",30,6075,2515,5.5,5.4
26,"(2013) 
Acqua Vitasnella Cantù",30,6050,2290,5.5,5.4
27,"(2021) 
UNAHOTELS Reggio Emilia",30,6150,2401,5.5,5.4
28,"(2020) 
Dolomiti Energia Trentino",28,5650,2228,5.9,5.8
29,"(2019) 
Banco di Sardegna Sassari",21,4200,1594,7.9,7.9
30,"(2013) 
EA7 Emporio Armani Milano",30,6025,2134,5.6,5.5
31,"(2017) 
Dolomiti Energia Trentino",30,6000,2304,5.6,5.6
32,"(2020) 
A|X Armani Exchange Milano",28,5600,2099,6,6
33,"(2020) 
A|X Armani Exchange Milano",28,5600,2099,6,6
34,"(2021) 
A|X Armani Exchange Milano",30,6053,2155,5.6,5.6
35,"(2021) 
A|X Armani Exchange Milano",30,6053,2155,5.6,5.6
36,"(2017) 
Openjobmetis Varese",30,6050,2271,5.6,5.6
37,"(2020) 
Vanoli Basket Cremona",28,5700,2395,6,5.9
38,"(2016) 
Banco di Sardegna Sassari",30,6000,2218,5.7,5.7
39,"(2020) 
Openjobmetis Varese",28,5675,2433,6.2,6.1
40,"(2023) 
Bertram Derthona Tortona",30,6025,2378,5.8,5.8
41,"(2018) 
Segafredo Virtus Bologna",30,6000,2410,5.8,5.8
42,"(2022) 
Bertram Yachts Derthona Tortona",30,6025,2337,5.9,5.8
43,"(2022) 
Bertram Yachts Derthona Tortona",30,6025,2337,5.9,5.8
44,"(2018) 
Umana Reyer Venezia",30,6075,2256,5.9,5.8
45,"(2023) 
UNAHOTELS Reggio Emilia",30,6000,2406,5.9,5.9
46,"(2018) 
Vanoli Cremona",30,5850,2360,5.9,6.1
47,"(2023) 
Happy Casa Brindisi",30,6025,2455,5.9,5.9
48,"(2018) 
Banco di Sardegna Sassari",30,5875,2416,6,6.1
49,"(2022) 
Germani Brescia",30,6100,2426,6,5.9
50,"(2022) 
Germani Brescia",30,6100,2426,6,5.9
51,"(2017) 
Vanoli Cremona",30,6000,2495,6,6
52,"(2016) 
Enel Brindisi",30,6100,2465,6.1,6
53,"(2017) 
EA7 Emporio Armani Milano",30,6075,2244,6.1,6
54,"(2014) 
Acea Roma",30,6025,2210,6.1,6.1
55,"(2020) 
De'Longhi Treviso",28,5600,2468,6.5,6.5
56,"(2023) 
Carpegna Prosciutto Pesaro",30,6050,2626,6.1,6.1
57,"(2013) 
Grissin Bon Reggio Emilia",30,6000,2236,6.2,6.2
58,"(2020) 
UNAHOTELS Reggio Emilia",28,5625,2261,6.6,6.6
59,"(2018) 
Happy Casa Brindisi",30,6075,2370,6.2,6.1
60,"(2013) 
Vanoli Cremona",30,6025,2464,6.2,6.2
61,"(2013) 
Acea Roma",30,6050,2350,6.2,6.2
62,"(2023) 
Umana Reyer Venezia",30,6025,2356,6.2,6.2
63,"(2023) 
Virtus Segafredo Bologna",30,6054,2305,6.3,6.2
64,"(2015) 
Giorgio Tesi Group Pistoia",30,6050,2320,6.3,6.2
65,"(2021) 
Bertram Derthona Basket Tortona",30,6050,2412,6.3,6.2
66,"(2021) 
Bertram Derthona Basket Tortona",30,6050,2412,6.3,6.2
67,"(2016) 
Sidigas Avellino",30,6075,2285,6.3,6.3
68,"(2014) 
EA7 Emporio Armani Milano",30,6000,2202,6.3,6.3
69,"(2013) 
Banco di Sardegna Sassari",30,6000,2400,6.3,6.3
70,"(2023) 
Generazione Vincente Napoli Basket",30,6025,2613,6.4,6.3
71,"(2023) 
Estra Pistoia",30,6025,2514,6.4,6.4
72,"(2020) 
Carpegna Prosciutto Pesaro",28,5625,2364,6.9,6.8
73,"(2017) 
Germani Basket Brescia",30,6075,2282,6.4,6.4
74,"(2014) 
Umana Reyer Venezia",30,6025,2221,6.5,6.4
75,"(2021) 
Openjobmetis Varese",30,6025,2655,6.5,6.4
76,"(2018) 
A|X Armani Exchange Milano",30,5875,2371,6.5,6.6
77,"(2015) 
Vanoli Cremona",30,6125,2213,6.5,6.4
78,"(2013) 
Giorgio Tesi Group Pistoia",30,6100,2323,6.5,6.4
79,"(2016) 
Dolomiti Energia Trentino",30,6050,2201,6.5,6.4
80,"(2022) 
Carpegna Prosciutto Pesaro",30,6050,2613,6.5,6.4
81,"(2022) 
Carpegna Prosciutto Pesaro",30,6050,2613,6.5,6.4
82,"(2015) 
EA7 Emporio Armani Milano",30,6025,2205,6.5,6.5
83,"(2017) 
Banco di Sardegna Sassari",30,6100,2488,6.5,6.4
84,"(2014) 
Grissin Bon Reggio Emilia",30,6075,2219,6.5,6.5
85,"(2022) 
Givova Scafati",30,6050,2414,6.5,6.5
86,"(2020) 
Germani Brescia",28,5650,2389,7,6.9
87,"(2023) 
Vanoli Basket Cremona",30,6050,2389,6.6,6.5
88,"(2015) 
Dolomiti Energia Trentino",30,6025,2274,6.6,6.5
89,"(2013) 
Sidigas Avellino",30,6050,2419,6.6,6.5
90,"(2022) 
EA7 Emporio Armani Milano",30,6025,2191,6.6,6.6
91,"(2022) 
EA7 Emporio Armani Milano",30,6025,2191,6.6,6.6
92,"(2020) 
Acqua S.Bernardo Cantù",28,5625,2313,7.1,7
93,"(2020) 
Fortitudo Lavoropiù Bologna",28,5600,2291,7.1,7.1
94,"(2021) 
NutriBullet Treviso Basket",30,6077,2509,6.6,6.5
95,"(2017) 
Red October Cantù",30,6050,2614,6.6,6.6
96,"(2015) 
Umana Reyer Venezia",30,6150,2230,6.7,6.5
97,"(2012) 
Lenovo Cantù",30,5825,2031,6.7,6.9
98,"(2016) 
Vanoli Cremona",30,6025,2416,6.7,6.7
99,"(2018) 
Grissin Bon Reggio Emilia",30,6000,2493,6.7,6.7
100,"(2023) 
EA7 Emporio Armani Milano",30,6000,2235,6.7,6.7
101,"(2022) 
Umana Reyer Venezia",30,6075,2402,6.8,6.7
102,"(2022) 
Umana Reyer Venezia",30,6075,2402,6.8,6.7
103,"(2016) 
Fiat Torino",30,6075,2551,6.8,6.7
104,"(2013) 
Sutor Montegranaro",30,6025,2608,6.8,6.7
105,"(2017) 
Umana Reyer Venezia",30,6075,2364,6.8,6.7
106,"(2018) 
Sidigas Avellino",30,6025,2456,6.8,6.8
107,"(2012) 
Sutor Montegranaro",30,6050,2570,6.8,6.8
108,"(2015) 
Openjobmetis Varese",30,6025,2344,6.8,6.8
109,"(2013) 
Enel Brindisi",30,6025,2242,6.9,6.8
110,"(2022) 
Virtus Segafredo Bologna",30,6025,2334,6.9,6.8
111,"(2022) 
Virtus Segafredo Bologna",30,6025,2334,6.9,6.8
112,"(2023) 
NutriBullet Treviso Basket",30,6000,2545,6.9,6.9
113,"(2023) 
Openjobmetis Varese",30,6000,2702,6.9,6.9
114,"(2017) 
Fiat Torino",30,6025,2494,6.9,6.9
115,"(2014) 
Enel Brindisi",30,6025,2231,6.9,6.9
116,"(2012) 
Montepaschi Siena",30,6000,2160,6.9,6.9
117,"(2021) 
Germani Brescia",30,6000,2310,6.9,6.9
118,"(2021) 
Germani Brescia",30,6000,2310,6.9,6.9
119,"(2015) 
Banco di Sardegna Sassari",30,6125,2439,6.9,6.8
120,"(2013) 
Victoria Libertas Pesaro",30,6125,2623,6.9,6.8
121,"(2021) 
Banco di Sardegna Sassari",30,6075,2449,6.9,6.8
122,"(2021) 
Vanoli Basket Cremona",30,6075,2535,6.9,6.8
123,"(2014) 
Banco di Sardegna Sassari",30,6075,2435,6.9,6.8
124,"(2021) 
Banco di Sardegna Sassari",30,6075,2449,6.9,6.8
125,"(2015) 
Grissin Bon Reggio Emilia",30,6050,2263,6.9,6.9
126,"(2014) 
Giorgio Tesi Group Pistoia",30,6050,2332,6.9,6.9
127,"(2017) 
The Flexx Pistoia",30,6025,2449,7,6.9
128,"(2011) 
Montepaschi Siena",32,6475,2308,6.6,6.5
129,"(2022) 
Pallacanestro Trieste",30,6075,2519,7,6.9
130,"(2015) 
Acqua Vitasnella Cantù",30,6100,2405,7.1,7
131,"(2012) 
EA7 Emporio Armani Milano",30,6075,2304,7.1,7
132,"(2014) 
Vanoli Cremona",30,6075,2348,7.1,7
133,"(2015) 
Sidigas Avellino",30,6050,2307,7.1,7
134,"(2014) 
Consultinvest Pesaro",30,6000,2463,7.1,7.1
135,"(2011) 
Bennet Cantù",32,6425,2237,6.7,6.6
136,"(2016) 
Openjobmetis Varese",30,6050,2402,7.1,7
137,"(2018) 
Acqua S.Bernardo Cantù",30,6050,2571,7.1,7
138,"(2022) 
Tezenis Verona",30,6075,2570,7.1,7
139,"(2021) 
Dolomiti Energia Trentino",30,6100,2447,7.2,7
140,"(2014) 
Dolomiti Energia Trento",30,6075,2402,7.2,7.1
141,"(2017) 
Happy Casa Brindisi",30,6075,2461,7.2,7.1
142,"(2012) 
Banco di Sardegna Sassari",30,6050,2513,7.2,7.2
143,"(2018) 
Germani Basket Brescia",30,6050,2443,7.2,7.2
144,"(2023) 
Givova Scafati Basket",30,6100,2626,7.3,7.1
145,"(2020) 
Allianz Pallacanestro Trieste",28,5600,2249,7.8,7.8
146,"(2015) 
Consultinvest Pesaro",30,6025,2355,7.3,7.3
147,"(2016) 
Grissin Bon Reggio Emilia",30,6050,2443,7.4,7.3
148,"(2016) 
Germani Basket Brescia",30,6025,2453,7.4,7.3
149,"(2017) 
Grissin Bon Reggio Emilia",30,6000,2362,7.4,7.4
150,"(2016) 
Umana Reyer Venezia",30,6125,2330,7.4,7.2
151,"(2022) 
UNAHOTELS Reggio Emilia",30,6075,2312,7.4,7.3
152,"(2022) 
Dolomiti Energia Trentino",30,6050,2335,7.4,7.3
153,"(2022) 
Dolomiti Energia Trentino",30,6050,2335,7.4,7.3
154,"(2021) 
Happy Casa Brindisi",30,6073,2499,7.4,7.3
155,"(2021) 
Happy Casa Brindisi",30,6073,2499,7.4,7.3
156,"(2021) 
Umana Reyer Venezia",30,6027,2297,7.4,7.4
157,"(2017) 
Segafredo Virtus Bologna",30,6025,2292,7.4,7.4
158,"(2012) 
Oknoplast Bologna",30,6025,2405,7.4,7.4
159,"(2013) 
Pasta Reggia Caserta",30,6025,2175,7.5,7.4
160,"(2020) 
Umana Reyer Venezia",28,5625,2142,8,8
161,"(2015) 
Manital Torino",30,6075,2401,7.5,7.4
162,"(2017) 
VL Pesaro",30,6050,2547,7.5,7.4
163,"(2022) 
Banco di Sardegna Sassari",30,6025,2413,7.5,7.5
164,"(2022) 
Banco di Sardegna Sassari",30,6025,2413,7.5,7.5
165,"(2014) 
Pasta Reggia Caserta",30,6025,2394,7.5,7.5
166,"(2014) 
Acqua Vitasnella Cantù",30,6100,2354,7.6,7.4
167,"(2012) 
Acea Roma",30,6050,2273,7.6,7.5
168,"(2013) 
Granarolo Bologna",30,6050,2376,7.6,7.5
169,"(2023) 
Dolomiti Energia Trentino",30,6025,2557,7.6,7.6
170,"(2014) 
Sidigas Avellino",30,6000,2341,7.6,7.6
171,"(2018) 
Oriora Pistoia",30,5825,2511,7.6,7.8
172,"(2018) 
Fiat Torino",30,6125,2611,7.6,7.5
173,"(2016) 
VL Pallacanestro Pesaro",30,6050,2420,7.6,7.6
174,"(2020) 
Virtus Segafredo Bologna",28,5600,2168,8.2,8.2
175,"(2014) 
Openjobmetis Varese",30,6150,2475,7.7,7.5
176,"(2016) 
Pasta Reggia Caserta",30,6075,2430,7.7,7.6
177,"(2022) 
Openjobmetis Varese",30,6050,2722,7.7,7.6
178,"(2022) 
Openjobmetis Varese",30,6050,2722,7.7,7.6
179,"(2016) 
The Flexx Pistoia",30,6075,2298,7.7,7.6
180,"(2016) 
MIA-Red October Cantù",30,6025,2476,7.7,7.7
181,"(2022) 
NutriBullet Treviso Basket",30,6000,2609,7.7,7.7
182,"(2014) 
Granarolo Bologna",30,6000,2416,7.7,7.7
183,"(2021) 
GeVi Napoli Basket",30,6075,2455,7.8,7.7
184,"(2023) 
Banco di Sardegna Sassari",30,6025,2482,7.8,7.7
185,"(2021) 
Allianz Pallacanestro Trieste",30,6100,2464,7.8,7.7
186,"(2021) 
Allianz Pallacanestro Trieste",30,6100,2464,7.8,7.7
187,"(2021) 
Carpegna Prosciutto Pesaro",30,6077,2518,7.8,7.7
188,"(2018) 
Alma Trieste",30,6050,2527,7.8,7.7
189,"(2015) 
Enel Brindisi",30,6125,2351,7.9,7.7
190,"(2021) 
Virtus Segafredo Bologna",30,6075,2364,7.9,7.8
191,"(2021) 
Virtus Segafredo Bologna",30,6075,2364,7.9,7.8
192,"(2012) 
Vanoli Cremona",30,6025,2413,7.9,7.9
193,"(2017) 
Sidigas Avellino",30,6175,2313,8,7.8
194,"(2011) 
Novipiù Casale Monferrato",32,6525,2447,7.5,7.4
195,"(2011) 
Canadian Solar Bologna",32,6450,2378,7.6,7.5
196,"(2015) 
Pasta Reggia Caserta",30,6050,2288,8.1,8
197,"(2011) 
Acea Roma",32,6525,2603,7.6,7.4
198,"(2012) 
Umana Venezia",30,6075,2354,8.1,8
199,"(2016) 
EA7 Emporio Armani Milano",30,6000,2384,8.1,8.1
200,"(2020) 
Banco di Sardegna Sassari",28,5625,2437,8.7,8.7
201,"(2018) 
VL Pesaro",30,6025,2754,8.2,8.2
202,"(2011) 
Umana Venezia",32,6450,2436,7.8,7.7
203,"(2013) 
Umana Venezia",30,6000,2420,8.3,8.3
204,"(2012) 
Angelico Biella",30,6075,2512,8.3,8.2
205,"(2011) 
Vanoli Braga Cremona",32,6425,2462,7.9,7.8
206,"(2011) 
EA7 Armani Milano",32,6400,2359,8,8
207,"(2012) 
Trenkwalder Reggio Emilia",30,6000,2201,8.5,8.5
208,"(2014) 
Upea Capo d'Orlando",30,6000,2222,8.6,8.6
209,"(2016) 
Betaland Capo d'Orlando",30,6050,2315,8.7,8.7
210,"(2011) 
Banco di Sardegna Sassari",32,6400,2494,8.4,8.4
